body_temperature,heart_rate,rumination_time,milk_yield,milk_conductivity,mastitis_status
39.48,78.25881250994009,542.4803916253725,15.2,4.73,0
39.96,85.61932165180299,506.30834240069265,18.5,4.56,0
38.31,74.20401058095923,563.7104349050106,22.9,4.78,0
39.36,67.23510059263263,525.2580471183464,18.2,4.25,0
38.32,67.8727609284843,488.25656536258646,22.2,4.82,0
41.5,94.35216415210027,436.0431441812386,12.2,6.5,1
38.51,57.92914448005434,441.8193734799063,16.9,4.49,0
41.5,100.27558489447826,372.4618773093282,9.9,6.05,1
39.21,73.82272136411606,558.1437155263649,22.4,4.86,0
41.5,104.13981129209911,430.33009966466864,11.5,6.08,1
38.99,71.07032813303428,519.0429151365367,15.3,4.43,0
38.91,75.30561597245119,454.4895839709312,23.3,4.87,0
41.39,95.28981615028582,433.5417709069132,8.6,6.88,1
38.43,71.17864914137847,489.1876060330802,21.0,4.52,0
38.53,73.97085977330319,497.607199297341,19.0,4.83,0
39.28,74.93391278063669,463.2727039694662,24.1,5.06,0
38.75,72.90181056877127,509.08246738219106,22.8,4.69,0
39.75,73.78854606548376,495.0107603746418,25.2,4.85,0
39.21,86.79366910705363,452.0039221406321,21.2,4.55,0
38.67,65.57045923651938,497.5024588791644,23.1,4.35,0
39.02,71.25459556280252,447.88506528247797,17.8,4.95,0
38.85,84.05702503529533,477.664674000119,21.6,4.61,0
41.5,100.46942570572612,427.6019638980599,11.4,6.77,1
41.46,91.1882725165952,403.43354367417186,8.7,6.43,1
38.86,73.65532709185136,518.1636051232495,18.6,4.77,0
38.59,77.72669236995887,498.1585091281915,21.2,4.9,0
37.58,62.48091674730468,495.41601310655756,19.9,4.61,0
38.85,76.46351447170295,474.0671939939188,25.5,5.04,0
39.32,74.70472574489271,532.4566222554562,22.1,3.84,0
39.06,67.00556732772809,445.37063008008806,24.0,5.01,0
39.29,73.18366187688575,542.2844430466655,16.8,3.91,0
41.17,100.74786193488406,408.76279840232326,9.9,6.0,1
39.42,76.78364060165211,517.1118158544419,16.2,4.75,0
38.54,75.20105781600382,491.0772755189042,22.0,5.05,0
38.65,74.48258428702022,474.99924157216776,22.3,4.23,0
38.78,67.57017164758614,428.56530266843953,24.0,4.99,0
39.62,73.70629047969143,511.3456925628761,18.0,4.21,0
38.88,76.02028491806742,521.7313522390399,17.3,4.68,0
40.03,85.70243276308325,376.0931546039218,24.0,4.85,0
39.54,64.50847301158649,489.6655248362871,22.6,5.22,0
39.51,81.0162473673675,460.8645525754159,22.4,4.89,0
39.66,76.40495457292823,494.416920834052,23.2,4.62,0
38.99,83.22691185313515,447.46037503024525,27.8,4.96,0
39.7,78.94743910925888,434.21710132945617,19.3,4.52,0
38.6,63.33207178013151,530.2533460782195,26.5,5.08,0
39.28,74.81908835955996,463.79456663782713,16.3,4.71,0
39.07,74.48651936291851,508.95428861801093,21.6,4.34,0
39.23,78.14439269363582,474.63489036050055,20.3,4.52,0
38.22,64.47884635255764,454.47807054842536,21.3,4.13,0
38.08,61.68701681924492,526.5288195569856,18.5,4.83,0
38.26,68.80177379027138,432.99578912801223,15.8,4.54,0
38.82,64.73318299697088,457.5288981973597,20.2,4.7,0
38.29,63.15751980829628,467.3638934583624,23.5,4.46,0
41.5,94.9133778264643,415.496389847362,9.2,7.08,1
39.1,73.32767130398278,480.14368197422624,12.9,4.75,0
39.06,83.27389261352934,478.9084619959851,20.6,4.24,0
38.21,63.770397914365105,507.2878375881096,24.1,4.76,0
41.31,97.17093723066388,373.1466093469539,11.1,6.63,1
40.71,89.66758058842139,400.86107822876113,6.8,6.43,1
38.93,68.28985331891272,540.4075427583808,23.3,4.78,0
38.62,79.68120446294388,377.09482693484176,18.8,4.97,0
38.92,68.8690807806607,539.3596829069494,19.9,4.53,0
38.83,63.33601941360319,439.24201893227206,19.3,5.33,0
38.73,67.47717694505076,423.4447273637796,22.6,4.57,0
39.74,79.95068073985477,526.5103586603343,23.7,4.85,0
38.45,64.69067590059919,495.3992088811674,21.0,5.09,0
38.79,77.82717168232865,488.13214133749636,18.5,5.02,0
39.57,78.92138125964617,485.4253473484302,16.5,4.93,0
39.02,79.55759925259953,495.7454076126436,14.4,4.44,0
39.9,83.08548399557164,521.5352318249375,18.6,4.63,0
39.55,73.06291342224684,488.97417659643156,23.0,4.69,0
41.08,87.26627482455415,354.7775850785211,15.0,6.68,1
38.22,61.81678204921586,467.4431261091365,13.3,4.52,0
39.14,85.11284666677547,434.2533265715885,21.3,4.77,0
38.91,74.31908555510707,450.4351996042034,23.2,4.5,0
38.87,65.77273264446688,490.01923689369175,14.2,4.45,0
39.08,82.47287284292597,495.466756205743,22.7,4.53,0
39.39,73.50976032662362,426.9219795586289,22.8,4.78,0
41.09,106.51429238902438,461.0946202726471,7.5,5.76,1
38.43,74.40309949421614,397.06837076217874,17.6,5.01,0
41.5,93.32747320286501,391.15166588764276,9.3,7.83,1
38.51,82.94366453595194,470.4725415080251,22.0,4.52,0
38.91,85.6444875492919,442.2960632388195,22.7,4.52,0
41.16,83.7146962739897,390.9274919396188,9.5,6.63,1
39.26,80.32651161273284,497.7705871848731,23.4,5.2,0
39.18,86.7007748753484,450.07819645722157,26.3,4.79,0
38.73,66.74093378321122,545.610447869074,27.3,4.71,0
39.5,79.50295710207526,478.4005576857468,25.2,4.57,0
38.84,66.3461777176434,413.32944398335025,18.3,5.05,0
38.63,71.37434947373218,486.1998550565691,20.3,4.37,0
39.94,82.93368734865138,454.6370904536033,17.3,4.76,0
41.16,93.7043051408872,431.4574619262459,11.9,6.24,1
39.44,84.4715734740444,486.1108467880588,20.7,4.85,0
39.05,78.51756114224706,494.0758163095607,18.1,4.37,0
39.01,78.22086395026666,526.1528172803856,23.9,4.65,0
38.77,77.97186994319736,494.3409612442919,28.4,4.97,0
41.5,106.22606093139106,461.89697507777765,9.4,6.34,1
39.5,86.85213730169731,411.71439545585145,16.7,4.29,0
41.5,105.93214697885018,401.3518908182846,7.4,6.63,1
39.32,70.51148213449558,433.5692816370722,18.6,5.06,0
41.5,97.58359201155898,438.21006575304807,11.4,6.55,1
39.27,76.0459027525839,551.2806064054548,17.7,4.64,0
38.66,66.74770240588003,507.4716759927786,23.5,4.36,0
38.17,69.5026754290705,447.9152490831872,15.7,5.11,0
38.36,60.46889362324631,466.69516740243307,23.8,4.38,0
41.5,94.68928942978653,475.7113381612737,9.3,6.1,1
38.5,68.36365858151397,470.7457242483268,26.6,4.32,0
39.31,82.3153266977604,414.53672781506384,20.0,5.12,0
39.32,73.77949384312522,476.02513423354566,17.7,4.7,0
41.21,91.80602304979656,438.94844009864903,8.2,6.39,1
38.99,73.7050437653403,428.3272308794189,16.6,4.7,0
39.6,77.58172768374206,507.57279644957094,19.6,5.08,0
39.97,77.40553712107919,502.25097024300095,27.9,4.7,0
39.12,79.83717271303374,515.2531069880993,17.0,4.84,0
41.5,94.27247719974912,380.47257316051054,10.4,6.71,1
